model_name,tags,model_price,Input,Output
gemini-3-flash-preview,"Tools, Chat, Vision",0,0.5,3
gpt-5.2,"Chat,Vision",0,1.75,14
gpt-image-1.5,Image Generation,0,5,32
gpt-image-1.5-all,Image Generation,0.13,0,0
gpt-5.2-pro,"Chat,Thinking",0,21,168
claude-opus-4-5-20251101,Chat,0,5,25
gemini-3-pro-image-preview,Image Generation,0.53,0,0
gpt-5.1,"Chat,Vision",0,1.25,10
gemini-3-pro-preview,"Chat,Thinking,Multimodality",0,2,12
gemini-3-pro-preview-11-2025,"Chat,Thinking,Multimodality",0,2,12
gemini-3-pro-preview-thinking,"Chat,Thinking,Multimodality",0,2,12
claude-haiku-4-5-20251001,"Chat,Vision,Thinking",0,1,5
claude-haiku-4-5-20251001-thinking,"Chat,Vision,Thinking",0,1,5
claude-opus-4-1-20250805,"Chat,Vision",0,15,75
claude-opus-4-1-20250805-thinking,"Chat,Vision,Thinking",0,15,75
claude-opus-4-20250514,"Chat,Vision",0,15,75
claude-opus-4-20250514-thinking,"Chat,Vision,Thinking",0,15,75
claude-sonnet-4-20250514,"Chat,Vision",0,3,15
claude-sonnet-4-20250514-thinking,"Chat,Vision,Thinking",0,3,15
claude-sonnet-4-5-20250929,"Chat,Vision,Thinking",0,3,15
claude-sonnet-4-5-20250929-thinking,"Chat,Vision,Thinking",0,3,15
gpt-5,"Chat,Thinking",0,1.25,10
gpt-5-2025-08-07,"Chat,Vision,Thinking",0,1.25,10
gpt-5-all,Chat,0,1.25,10
gpt-5-chat-latest,"Chat,Vision",0,1.25,10
gpt-5-codex,"Chat,Vision,Thinking",0,1.25,10
gpt-5-codex-high,"Chat,Vision,Thinking",0,1.25,10
gpt-5-codex-low,"Chat,Vision,Thinking",0,1.25,10
gpt-5-codex-medium,"Chat,Vision,Thinking",0,1.25,10
gpt-5-high,Chat,0,1.25,10
gpt-5-low,Chat,0,1.25,10
gpt-5-medium,Chat,0,1.25,10
gpt-5-mini,"Tools, Multimodality, Thinking, Chat",0,0.25,2
gpt-5-mini-2025-08-07,"Chat,Vision,Thinking",0,0.25,2
gpt-5-minimal,"Chat,Thinking",0,1.25,10
gpt-5-nano,"Tools, Multimodality, Thinking, Chat",0,0.05,0.4
gpt-5-nano-2025-08-07,"Chat,Vision,Thinking",0,0.05,0.4
gpt-5-pro,"Chat,Vision,Thinking",0,15,120
gpt-5-pro-all,Chat,1.15,0,0
gpt-5-search-api,"Chat, Networking",0,1.25,10
gpt-5-search-api-2025-10-14,"Chat, Networking",0,1.25,10
gpt-5-thinking-all,"Thinking,Chat",0,1.25,10
veo3,"Video Generation,Async",0.9,0,0
veo3-pro-frames,"Video Generation,Async",4,0,0
veo3.1,"Video Generation,Async",0.7,0,0
veo3.1-components,"Video Generation,Async",0.7,0,0
veo3.1-pro,"Video Generation,Async",3.5,0,0
veo_3_1,"Video Generation,Async",0.5,0,0
veo_3_1-fast,"Video Generation,Async",0.26,0,0
gpt-5.1-all,"Chat, Vision, Networking",0,1.25,10
gpt-5.1-thinking-all,"Chat,Vision,Thinking,Networking",0,1.25,10
grok-4.1,"Chat, Vision, Networking",0,2,10
grok-4.1-thinking,"Chat, Thinking, Vision, Networking",0,2,10
veo3.1-fast,"Video Generation,Async",0.7,0,0
BAAI/bge-reranker-v2-m3,Reorder,0,0.01,0.01
Dolphin3.0-R1-Mistral-24B,Chat,0,1.4572,2.9144
ERNIE-3.5-8K,Chat,0,3.7144,3.7144
ERNIE-4.0-8K,Chat,0,33.144,33.144
ERNIE-Character-8K,Chat,0,0.9716,1.9432
ERNIE-Functions-8K,Chat,0,0.9716,1.9432
ERNIE-Lite-8K,Chat,0,0.8286,1.6572
ERNIE-Speed-128K,Chat,0,0.9716,1.9432
ERNIE-Speed-8K,Chat,0,0.9716,1.9432
ERNIE-Tiny-8K,Chat,0,0.283,0.283
Embedding-V1,"vector,text embedding",0,0.5,0.5
Kimi-K2-Instruct,,0,4,16
MAI-DS-R1,"Chat,Thinking",0,1.314,5.256
MiniMax-Hailuo-02,"Video Generation,Async",4,0,0
MiniMax-Hailuo-2.3,"Video Generation,Async",4,0,0
MiniMax-Hailuo-2.3-Fast,"Video Generation,Async",2.7,0,0
MiniMax-M2,,0,2.1,8.4
Phi-4,Chat,0,0.12,0.48
Pro/BAAI/bge-reranker-v2-m3,Reorder,0,0.14,0.14
Qwen/Qwen3-Reranker-0.6B,Reorder,0,0.14,0.14
Qwen/Qwen3-Reranker-4B,Reorder,0,0.28,0.28
Qwen/Qwen3-Reranker-8B,Reorder,0,0.56,0.56
SparkDesk-v1.1,Chat,0,20,20
SparkDesk-v2.1,Chat,0,40,40
SparkDesk-v3.1,Chat,0,60,60
SparkDesk-v3.5,Chat,0,60,60
andreasjansson/stable-diffusion-animation,"Image Generation,Async",0.65,0,0
babbage-002,Chat,0,0.4,0.4
black-forest-labs/flux-1.1-pro,"Image Generation,Async",0.2,0,0
black-forest-labs/flux-1.1-pro-ultra,"Image Generation,Async",0.3,0,0
black-forest-labs/flux-dev,"Image Generation,Async",0.125,0,0
black-forest-labs/flux-fill-dev,"Image Generation,Async",0.2,0,0
black-forest-labs/flux-fill-pro,"Image Generation,Async",0.25,0,0
black-forest-labs/flux-kontext-dev,"Image Generation,Async",0.125,0,0
black-forest-labs/flux-kontext-max,"Image Generation,Async",0.4,0,0
black-forest-labs/flux-kontext-pro,"Image Generation,Async",0.2,0,0
black-forest-labs/flux-pro,"Image Generation,Async",0.275,0,0
black-forest-labs/flux-schnell,"Image Generation,Async",0.015,0,0
chatgpt-4o-latest,"Chat,Vision",0,5,15
cjwbw/rembg,"Image Generation,Async",0.025,0,0
claude-3-5-haiku-20241022,Chat,0,0.8,4
claude-3-5-haiku-latest,"Tools, Multimodal, Chat",0,0.8,4
claude-3-5-sonnet-20240620,"Chat,Vision",0,3,15
claude-3-5-sonnet-20241022,"Chat,Vision",0,3,15
claude-3-7-sonnet-20250219,"Chat,Vision,Thinking",0,3,15
claude-3-7-sonnet-20250219-thinking,"Chat,Thinking",0,3,15
claude-3-7-sonnet-latest,"Tools, Multimodality, Thinking, Chat",0,3,15
claude-3-haiku-20240307,"Chat,Vision",0,0.25,1.25
claude-3-opus-20240229,"Chat,Vision",0,15,75
claude-3-sonnet-20240229,"Chat,Vision",0,3,15
claude-3-sonnet-all,"Chat,Vision",0,3,4.5
claude-opus-4-5-20251101-thinking,,0,5,25
codex-mini-2025-05-16,"Tools, Chat, Thinking",0,75,75
codex-mini-latest,"Tools, Thinking, Chat",0,1.5,6
dall-e-3,Image Generation,0.04,0,0
davinci-002,Chat,0,40,40
deepseek-chat,Chat,0,2,8
deepseek-math-v2,"Chat,Thinking",0,4,16
deepseek-ocr,Vision,0,0.216,0.216
deepseek-r1,"Chat,Thinking",0,4,16
deepseek-r1-0528,,0,4,16
deepseek-r1-2025-01-20,"Chat,Thinking",0,4,16
deepseek-r1-250120,,0,4,16
deepseek-r1-250528,"Chat,Thinking",0,4,16
deepseek-r1-distill-llama-70b,Chat,0,1,3
deepseek-r1-distill-qwen-32b,Chat,0,2,6
deepseek-r1-distill-qwen-7b,Chat,0,0.5,1
deepseek-r1-searching,"Chat, networking, Thinking",0,4,16
deepseek-reasoner,Chat,0,4,16
deepseek-v3,Chat,0,2,8
deepseek-v3-0324,Chat,0,2,8
